token,web_url,title,posted_time_text,location,mileage_text_raw,mileage_km,year_text,color,brand_model_text,gearbox,fuel_type,base_price_text_raw,base_price_toman,engine_condition,chassis_front_condition,chassis_rear_condition,body_condition,gearbox_condition,description,scraped_at
gaBKlUnS,https://divar.ir/v/gaBKlUnS,ساینا تک /دوگانه ۱۴۰۵ تحویل فوری,۳ هفته پیش در تهران، صادقیه، خ بیست و یکم شرقی,tehran، sadeghiyeh,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۰۵۰,۰۰۰,۰۰۰ تومان",1050000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"✨هلدینگ میشا صنعت خودرو✨
فروش انواع خودروهای ایرانی و خارجی

✅️ عضو رسمی اتحادیه 
✅️ کد ثبتی : 616686
✅️ با بیش از ۱۷ سال سابقه
——————————————— 
 تحویل فوری
 ۲۴ساعت مهلت کارشناسی
 تسویه بعداز رویت و کارشناسی خودرو
 سند آزاد
 ٪۷۰ تخفیف بیمه بدنه
 امکان فروش به تمامی شرکت ها و ارگان های دولتی
 امکان فروش خودرو با دلار همه ارزهاو طلا به قیمت روز
 امکان معاوضه خودرو کارکرده با صفر 
———————————————
جهت  کسب اطلاعات بیشتر با کارشناسان ما در ارتباط باشید .

  کارشناس شما خانم محمدی",2026-09-09T20:53:47.634061
gaDavOge,https://divar.ir/v/gaDavOge,ساینا صفر تحویل فوری,۳ هفته پیش در تهران، اباذر، خ سازمان آب,tehran، aboozar,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۲۰۰,۰۰۰,۰۰۰ تومان",1200000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"نمایندگی صنعت خودرو ساعی با افتخار آماده ارائه خدمات فروش انواع خودرو با بهترین شرایط به مشتریان گرامی است
عضو رسمی اتحادیه صنف خودرو 
   ✅۳۰۷۸۱۸✅

رویای داشتن خودرویی مطمئن، باکیفیت و اقتصادی را با صنعت خودرو ساعی به واقعیت تبدیل کنید

نمایندگی فروش تمامی محصولات 

سایپا / پارس خودرو/ ایرانخودرو / کرمان خودرو / مدیران خودرو / بهمن خودرو و تمامیه (خودروهای مونتاژ)

☑️امکان خرید به صورت نقد و اقساط
☑️تحویل خودرو ۱ ساعته 
☑️امکان کارشناسی خودرو قبل از تسویه مبلغ 
☑️امکان نصب تمامی آپشن ها با گارانتی شرکتی
☑️تمامی خودروها دارای ۱ سال بیمه شخص ثالث و ۷۰٪ تخفیف بیمه بدنه میباشد

❌تخفیف ویژه پای معامله❌

☑️تنوع رنگ در تمامی خودروها
☑️سند آزاد، هزینه ی انتقال سند به عهده نمایندگی میباشد
☑️خرید خودرو خود را در صنعت خودرو ساعی بدون واسطه انجام دهید


کارشناس فروش جهت راهنمایی
‍♀️خانم هرمزی",2026-09-09T20:53:57.423520
gace2mOR,https://divar.ir/v/gace2mOR,ساینا اس ۵,۳ روز پیش در تهران، دبستان، خ شبنم,tehran، dabestan,۲۰۰۰,2000,۱۴۰۳ - ۲۰۲۴,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۲۸۰,۰۰۰,۰۰۰ تومان",1280000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,ساینا در حد نو,2026-09-09T20:54:05.327328
gaRK6VS7,https://divar.ir/v/gaRK6VS7,ساینا s  خشک 1404,هفته پیش در تهران، آذری، خ قدرت پاکی,tehran، azari,۰,0,۱۴۰۴ - ۲۰۲۵,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۳۰۰,۰۰۰,۰۰۰ تومان",1300000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,تحویل برج 10 ، از موقع تحویل تو پارکینگ بوده ، و چون  سر 6 ماه نبردم سرویس از گارانتی خارج شده,2026-09-09T20:54:48.331474
gaGK78HT,https://divar.ir/v/gaGK78HT,ساینا sصفر کیلومتر تحویل روز,۲ هفته پیش در تهران، صادقیه، خ ستارخان,tehran، sadeghiyeh,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۹۴۰,۰۰۰,۰۰۰ تومان",940000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"⚜️نمایندگی صنعت خودرو جباری⚜️

⚜️⚜️کارشناس فروش: سرکارخانم یکتا⚜️⚜️

✅️عضو رسمی اتحادیه خودرو فروشان غرب
✅️عضو رسمی اتاق اصناف تهران
✅️عضو رسمی انجمن صفر فروشان خودرو تهران

<<<<<<<<<<<>>>>>>>>>>

✅️نمایندگی فروش محصولات ایرانخودرو/سایپا/مدیرانخودرو/کرمان موتور/بهمن موتور

‼️با۲۵سال سابقه درخشان در زمینه فروش خودرو

⭕️تحویل خودرویکساعته ازپارکینگ نمایندگی 
⭕️تسویه بعد از رویت خودرو و کارشناسی
⭕️سند تمامیه خودروها آزاد و قابل استعلام 
⭕️تنوع رنگها درتمامیه خودروها
خودرو با بیمه و گارانتی 

⭕️۷۰درصد تخفیف بیمه بدنه
⭕️۲۴ساعت حق کارشناسی

✅امکان نصب کلیه آپشنهای اپکویی با گارانتی دوساله

✅امکان عقد قرارداد با کلیه ارگانها وشرکتهای دولتی و خصوصی به صورت تک و تعداد با نازلترین قیمتها

✅️تخفیف پای معامله 
✅️خرید بدون واسطه

✅امکان معاوضه با خودرو کارکرده
✅امکان معاوضه باطلا.دلاروتتر

✨️به دلیل نوسان بازارخودرو جهت استعلام
 قیمت فقط تماس بگیرید درصورت مشغول بودن یاپایان ساعت کاری باارسال پیامک پاسخ سوالات خود را خواهید گرفت قبلا ازصبوریه شما سپاسگزارم 
☘️کارشناس فروش شما: خانم یکتا",2026-09-09T20:54:58.178599
gahGooLG,https://divar.ir/v/gahGooLG,ساینا مدل ۹۸,۱ ساعت پیش در تهران، نیروی هوایی (پیروزی)، میدان دوم نیروی هوایی,tehran، niroo-havayi,۱۲۵۰۰۰,125000,۱۳۹۸ - ۲۰۱۹,سفید,ساینا دنده‌ای EX,,بنزین,"‏۹۰۰,۰۰۰,۰۰۰ تومان",900000000,تعیین‌نشده,تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,بدون رنگ سند تک برگ خونگی,2026-09-09T20:55:51.897777
gahG4V5B,https://divar.ir/v/gahG4V5B,ساینا S  سفید,۱ ساعت پیش در تهران، نارمک جنوبی,tehran، south-narmak,۹۷۰۰۰,97000,۱۴۰۰ - ۲۰۲۱,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۲۰۰,۰۰۰,۰۰۰ تومان",1200000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"97000 تا کار
مدل، بهمن 1400
فنی سالم، به کل اخیرا سرویس شده
چهار حلقه لاستیک نو
شاسی پلمپ
بدون رنگ
رکاب بتونه شده",2026-09-09T20:55:59.417848
gah-nPLS,https://divar.ir/v/gah-nPLS,ساینا 97 تصادفی,۱ ساعت پیش در تهران، نعمت‌آباد,tehran، nemat-abad,۱۷۰۰۰۰,170000,۱۳۹۷ - ۲۰۱۸,نوک‌مدادی,ساینا دنده‌ای EX,,بنزین,"‏۵۴۰,۰۰۰,۰۰۰ تومان",540000000,تعیین‌نشده,تعیین‌نشده,تعیین‌نشده,تصادفی,سالم و پلمپ,"ساینا 97
ماشین روشن
کولر روشن
داخل کابین سالم ، ایربگ باز نشده سالم
نیازی به تحویل داغی به بیمه نیست مطابق لوازم عکس بفروش میرسد
فقط نقد",2026-09-09T20:57:21.892007
gahunvGL,https://divar.ir/v/gahunvGL,ساینامدل1400,۱ ساعت پیش در تهران، جوادیه تهرانپارس، خ شریعتی,tehran، javadiyeh-tehran-pars,۱۰۰۰۰۰,100000,۱۴۰۰ - ۲۰۲۱,طوسی,ساینا دنده‌ای EX,دنده‌ای,بنزین,"‏۱,۰۲۸,۰۰۰,۰۰۰ تومان",1028000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"ساینامدل1400
در حدصفر
بدون رنگ
لاستیک ها90درصد
سند تک برگ
کارکرد واقعی
بدون ایراد فنی و ظاهری",2026-09-09T20:57:31.126504
gahmH2MG,https://divar.ir/v/gahmH2MG,ساینا دوگانه شرکتی,۲ ساعت پیش در تهران، ابوذر، خ فاطمی,tehran، abouzar,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا GXL دوگانه سوز,دنده‌ای,دوگانه‌سوز شرکتی,"‏۱,۶۲۰,۰۰۰,۰۰۰ تومان",1620000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"سلام
ماشین صفر کیلومتر 
✓مدل gx
✓دارای استاندارد 85گانه
SBR✓
✓دارای ضبط و باند
✓گارانتی فعال  
فقط از نمایندگی تا پارکینگ اومده .
مدارک آماده انتقال 
✓✓فروش فوری 
پول لازم",2026-09-09T20:58:25.375476
